시간,일정,장소,세부 내용,담당자,필요 도우미 수,배정된 도우미
AM 9:30,이벤트 풋살,인조잔디구장,"<타임라인> 14m
0. 8vs8(형제4,자매4), 경기시간:10분
1. 규칙을 설명한다. (1')
2.각 팀당 풋살에 참여할 8명을 혼성으로
(4명 형제, 4명 자매) 뽑는다. (1') ->*중간에 교체 가능
3. 팀 조끼를 준다. (30”)
4. 풋살 경기를 한다. (10’)
5. 조끼 회수 및 경기 결과를 발표한다. (1')

<규칙>
-자매 득점시 2점
-자매 공 소유시 스크린 하기(농구처럼, 다리뻗고 태클 금지)
-형제 헤딩 득점시 1점
-형제 헤딩 외 득점시 -1점
-라인 아웃시 쓰로잉 없이 무조건 발로 패스
-부상 방지를 위해 실질적 파울이 아니더라도 위험한 액션시 경고
-골키퍼 (5분간) 오리발 착용
-*중간에(시작 7분 후) 이벤트 발생으로 공 추가->총 2개로 진행
-10분동안 더 많은 득점을 한 팀이 승리,
-만약 승부가 나지 않았다면 가위바위보로 결정

<점수>
기본 참가 점수:200
승리팀:800","프로그램:고은솔
시설:최현수",3*2=6,-
AM 9:45,물총 축구,인조잔디구장,"<타임라인> 11m
0. 5vs5, 경기시간:2분씩 2판(리필 불가)
1. 간단한 규칙 설명 (1’)
2. 각 팀당 5명 선정, 한팀은 조끼 입도록 (1’)
3. 물총축구 (5’)
4. 결과 발표 및 정리 (1’30"")
5. 물총 리로드 (2’)
+골대 길게 하기로 함

<규칙>
-공을 건드리지 않고 물총으로 움직여 골대에 넣기
-라인 아웃시 공을 가져와 공격, 진행팀이 먼저 물총을 쏘고 시작
-사람에게 물총 사용시 경고, 경고 2회 누적시 퇴장
-골키퍼 없음
-공과 신체 또는 물총 접촉시 반칙(유연하게 판단하기..)

<점수>
기본 참가 점수:200
승리팀:800","프로그램:고은솔
시설:최현수",3*2=6,-
AM 10:00,추억의 뽑기,인조잔디 미니부스,"<타임라인> 40sec
1.뽑기 (10"")
2.간식증정 (30"")

<규칙>
-한 사람당 한 번의 기회가 주어져야 한다","프로그램:고은솔
시설:최현수",1*2=2,-
AM 10:15,림보,인조잔디 미니부스,"<타임라인> 3m
약 1.2m부터 시작해서 모든사람이 지나가면 한칸 내린다.
높이를 낮춰가며 반복한다. (3’)

<규칙>
80센치 통과자->간식 획득","프로그램:고은솔
시설:최현수",1*2=2,-
AM 10:30,콩주머니 넣기,인조잔디 미니부스,"<타임라인> 2m
기준선에서 과녁의 구멍에 콩 주머니를 넣는다. (2')

<규칙>
-기준선 지키기
-총 4번의 시도
-4개 중 2개 이상->간식 획득","프로그램:고은솔
시설:최현수",1*2=2,-
AM 10:45,다트,인조잔디 미니부스,"<타임라인> 2m
1. 간단한 규칙 설명(10’’)
2. 다트 시작(1~3’’)
3. 간식 증정(30"")

<규칙>
-다트 규칙과 동일하게 라인에 서서 다트 투척
-3개 던져서 100점 이상->간식 획득","프로그램:고은솔
시설:최현수",1*2=2,-
AM 11:00,장막 줄다리기,대강당,"<타임라인> 10m
0. 3판 2선승제, 매번 위치 바꿀지는 해당 팀원들의 의견에 
따라 조정 가능, 3줄 이상 가져간 팀 승
1.규칙 설명 (1')
2.양 팀이 각각 한쪽에 선 후 장막으로 줄 가운데를 가린다. (12)
3.양 팀은 각 줄마다 자유롭게 인원을 배정한다. (2')
4.장막을 걷는다.(이후 이동 불가)  (30"")
5.줄다리기를 한다. (30"")

<규칙>
-같은 인원으로 게임을 진행한다.   
-고의로 천을 열어 상대 팀을 보는 것은 금한다.
-장막을 내린 후 움직이는 것을 금한다.
-제한시간 30초 후 중간 기준점에서 밧줄이 더 많이 넘어 있는 곳
승리

<점수>
기본 참가 점수:!00
승리팀:400","프로그램:김서연
시설:한시인",3,-
AM 11:15,7:7 탁구,대강당,"<타임라인> 10~15m
1. 탁구채로 사용할 물건 앞으로 각 팀을 안내한다. (1')
2. 팀별로 참여할 사람 7명을 정한 후, 각자 사용할 물건을 고른다. (1~2’)
3. 팀별로 나올 순서를 다른 팀이 알지 못하게 정한다. (30’’’)
4. 순서대로 각자의 물건을 들고 경기를 하면서 밀어내기를 한다. (10')

<규칙>
-각 팀별로 탁구를 칠 7명 선정
-7명은 탁구채로 사용할 물건 7개 중 하나씩 선택
-각 팀별로 경기에 내보낼 순서를 다른 팀이 모르게 정함.
-인당 5개의 목숨이 있음. 한 번 질 때마다 1개씩 차감되며, 
5개가 전부 차감되면 다음 순서를 맡은 사람이 나와서 경기를 이어감.
위의 과정을 반복하여 상대팀에서 더 이상 나올 선수가 없으면 승리

<점수>
기본 참가 점수:!00
승리팀:500","프로그램:김서연
시설:한시인",1,-
AM 11:15,짐볼 배구,대강당,"<타임라인> 15m
0. 16vs16, 3판 2선승제, 8점내기
1. 진행자가 활동을 설명한다&조끼 나누기(1')
2. 서브로 시작하여 활동을 진행한다.(8점내기, 3판 2선승제)
3. 결과 기록 및 정리한다.(1')


<규칙>
-온 몸 사용 가능
-공이 바닥에 닿으면 아웃
-한 선수가 연속해서 공을 2번 터치하면 안됨
-공이 바닥에 닿기 전에 3번의 터치로 상대방 진영에 넘긴다.

<점수>
기본 참가 점수:100
승리팀:400","프로그램:김서연
시설:한시인",3,-
AM 11:15,인간 컬링,대강당,"<타임라인> 13m
1.게임설명(1’)
2.각 팀마다 선수 선별을 한다.(1’)
3. 번갈아가며 컬링을 플레이 한다.(5’)
4. 2라운드로 게임 진행한다. (6’)

<규칙>
<인원편성>
‘스톤을 미는 사람 나머지 팀원
스톤이 될 사람 4명(조끼입기)
<진행 규칙>
1.스톤이 될 사람은 의자 위에 올라앉는다
(무릎꿇기, 다리 앞으로 올리기 다 가능)
2.스톤을 미는 사람이 스톤을 점수판으로 밀어낸다.
 (손을 놓는 지점과 도약거리는 미는사람 기준으로
 형제,자매 거리가 다름)
3. 점수판 위에 올라가면 의자는 그 자리에 두고 선수는 
팀으로 복귀한다. (진행하는 스톤은 고정된 스톤을 밀어낼 수 있다.)
4. 팀별로 번갈아가며 진행한다. 
<점수 계산 방법>
1. 점수판 위에 남은 스톤들의 점수를 합산하여 승패를 결정한다.
2. 게임중에 좋은 자리에 있었더라도 종료시점에 밖으로 밀려나갔다면 
점수로 인정받을 수 없다.

<점수>
기본 참가 점수:100
승리팀:600","프로그램:김서연
시설:한시인",2,-
AM 11:15,한컴타자연습,대강당 미니부스,"<타임라인> 2m
1. 도전자는 컴퓨터 앞에 앉아서 타자를 친다 (0’10’’~1’)

<규칙>
도전 언어: 한글 / 영어
한글:애국가 1절까지만
영어:The Little Prince 첫 페이지만

<순위 산정 방식>
한글, 영어 따로 순위 산정
정확도가 우선, 그 다음이 타자수 (걸린 시간)가 기준. 
(e.g. 정확도 95% 600타 vs 정확도 100% 500타 에서는 
후자가 더 높은 순위에 위치){추후 결정} ->기준 정확히 다시 이야기

-미니게임 상품과 별개로 순위 따로 기록하여 명예의 전당 1위 선물

-정확도 95% 이상, 300타 이상 ->간식 -> or ?? and??","프로그램:김서연
시설:한시인",1,-
AM 11:15,큐브,대강당 미니부스,"<타임라인> 2m
루빅스 큐브를 특정한 시간 내에 맞추면 상품 지급(2’)

<규칙>
1면(1m) – 1마이쮸

면
2m– 간식
1.5m – big 간식
1m 간식, 랭킹 등록 가능
30sec 이내 – 간식, 사진 촬영 해드림
랭킹 1위 달성시 폐회식 때 전체공지 및 명예의 전당 선물
","프로그램:김서연
시설:한시인",1,-
AM 11:15,젓가락 콩 옮기기,대강당 미니부스,"<타임라인> 2m
1.설명 (30"")
2.제한시간 1분 내에 다른 접시로 젓가락을 이용하여 콩을 옮긴다.
*재시도 1번의 기회 부여

<규칙>
-손으로 옮기기 금지
-옮기가 떨어뜨리면 그 콩은 다시 처음부터 시작
총 20개의 콩 중 15개 이상 옮기면 성공->간식","프로그램:김서연
시설:한시인",1,-
AM 11:15,츄파춥스 팽이,대강당 미니부스,"<타임라인> 30sec
1. 츄파춥스를 팽이처럼 돌린다.
2. 상품을 받아간다.

<규칙>
-현장 도우미가 보기에 팽이처럼 돌기만 하면 츄파춥스 증정","프로그램:김서연
시설:한시인",1,-
AM 11:15,누가누가기나,태권도장,"<타임라인> 8m
0. 전체 참여
1.설명&양 팀의 인원 수 똑같이 배치한다. (1')
2.다리 찢기를 하여 긴 선을 만든다. (5')
3.더 긴 팀이 승리한다.

<규칙>
-최대한 모든 인원이 참여해야한다.
-다리 찢기 이외에 물건으로 선 연결은 금한다.

<점수>
기본 참가 점수:100
승리팀:200","프로그램:주은수
시설:최현수",1,-
AM 11:15,줄세우기,태권도장,"<타임라인> 8m
0. 전체 참여
1. 게임 설명을 한다 (1')
2. 조건을 제시한다. (30"")
3. 참가자는 빠르게 한 줄로 선다 (2*3')

<규칙>
-주어진 조건에 맞춰서 한 줄로 빠르게 선다.
-조건이 동일하면 순서에 상관 없이 나란히 서면 된다.
 (ex. 신발 사이즈 235)
-3판 2선승
-먼저 완료 후 앉으면 점수
-두 팀 모두 실패시 무효처리

<점수>
기본 참가 점수:100
승리팀:200

조건 예시
신발 사이즈 작은 것에서 큰 순서대로
배터리 잔량 작은 것에서 큰 순서대로
이름 가나다 순서대로","프로그램:주은수
시설:최현수",1,-
AM 11:15,판뒤집기,태권도장,"<타임라인> 10m
0. 전체 참여
1. 규칙 설명(1') 
2. 1분간 판을 뒤집는다 (1*3)
3. 1' 휴식 후 다시 재개
4. 어떤 면의 판이 더 많은지 세어 승자를 가린다.

<규칙>
-시작과 동시에 각 팀은 판을 뒤집는다.
-정해진 시간동안 판을 뒤집는다.
-시합이 끝난 후에 어느 팀의 판이 많은지 세어 승자를 가린다

<점수>
기본 참가 점수:100
승리팀:400","프로그램:주은수
시설:최현수",2,-
AM 11:15,손바닥 끈끈이,태권도장 미니부스,"<타임라인> 2m
1. 진행자가 활동을 설명한다 (30"")
2. 책상 위 동전을 주어진 손바닥 끈끈이로 먼저 잡는 사람이 승리
(2명 이상 시 게임 진행, 3판 2선승제)

<규칙>
-너무 가까이에서 하지 않고 기준선 지키기
-손으로 동전 잡기 금지","프로그램:주은수
시설:최현수",1,-
AM 11:15,바람잡이 특공대,배드민턴장,"<타임라인> 10m
0. 제한시간 8분 높이가 더 높은 팀 승리
1. 통천 가장자리에 모두가 서서 기다린다.
2. 시작신호와 함께 모두가 통천에 공기를 넣도록 노력한다. (8')
3. 여러 미션 시행하며 통천의 바람(높이 낮은팀)이 빨리 빠지는 팀 lose

<규칙>
-온몸 이용 가능 
-옆사람과의 충돌 주의
-높이 측정(막대기 등)

<점수>
기본 참가 점수:100
승리팀:600","프로그램:권하람
시설:한시인",5,-
AM 11:15,대형 젠가,배드민턴장,"<타임라인> 8m
0. 16vs16, 1판
1. 게임 설명 (1’)
2. 각 팀별로 출전 순서를 정한다. (1’)
3. 한 명씩 번갈아 가면서 블록을 빼 낸다. (5’)
4. 무너뜨린 사람이 나온 팀이 패배한다.
5. 진팀은 젠가를 다시 세운다.(1’)

<규칙>
- 뺀 블록은 위에 쌓는다.
(앞 블록보다는 위에 올려야 하나, 수직으로 세우지는 않도록 한다.)
-빼낼 블록은 한번 건드리면 변경할 수 없다.
-의자에 올라가기, 목마 태우기 가능 이 외 불가

<점수>
기본 참가 점수:!00
승리팀:300","프로그램:권하람
시설:한시인",2,-
AM 11:15,컵쌓기,배드민턴장 미니부스,"<타임라인> 3m
1. 진행자가 활동을 설명한다(1분)
2.진행자와 혹은 상대와 대결(가장 먼저 컵을 쌓아올리고
 내리는 사람이 승리)
 3-6-3 / 6-6 / 10-2 / 3-6-3
혹은 타임어택 가능->명예의 전당

<규칙>
주어진 쌓기 공식을 활용하여 가장 먼저 끝내는 사람이 승리
->간식 증정","프로그램:권하람
시설:한시인",1,-
AM 11:30,시상식,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
AM 11:45,시상식,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 12:00,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 12:15,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 12:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 12:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 12:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 12:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
PM 12:30,뒷정리,대강당,"대강당에서 단체로 시상 진행

1.들어오는 순서대로 체육관 바닥이나 의자에 앉도록 돕기
2.11시 45분에 시상 시작하기",ARENA 팀,52,-
